gene,eqZ,wbZ,ntZ,multiZ
ENSG00000013375,-3.45797,,,
ENSG00000013392,-1.79404,,,
ENSG00000013503,1.36143,-0.357818,-0.341945,-0.494806
ENSG00000013523,-0.0417112,-0.589989,-0.218577,-0.571742
ENSG00000013561,-0.875837,,-1.87774,
ENSG00000013573,2.76691,,,
ENSG00000013583,-4.85476,,2.93862,
ENSG00000013810,0.59932,0.978223,0.701585,1.1878
ENSG00000014123,0.512864,0.366851,-0.615521,-0.175836
ENSG00000014138,-2.06139,,,
ENSG00000014164,-2.2868,-0.343243,-0.150943,-0.349442
ENSG00000014216,-1.14464,,-1.31348,
ENSG00000014257,0.27909,-0.0189478,0.880318,0.609081
ENSG00000014641,-0.419938,0.791159,0.278552,0.7564
ENSG00000014824,1.39962,,,
ENSG00000014919,0.332467,,,
ENSG00000015153,-3.83267,-1.9734,,
ENSG00000015532,-4.0433,,,
ENSG00000015676,-5.211,,,
ENSG00000016391,-2.83333,,1.43874,
ENSG00000016864,5.72614,,3.56681,
ENSG00000017260,-0.0478735,,,
ENSG00000017797,0.572127,3.30565,0.42302,2.63657
ENSG00000018189,-1.53503,,-0.43304,
ENSG00000018280,-2.30245,,,
ENSG00000018510,3.45651,,,
ENSG00000018699,-2.58571,,,
ENSG00000019102,-2.99428,,,
ENSG00000019169,-1.39163,,,
ENSG00000019485,-2.51705,,,
ENSG00000019995,0.318193,,,
ENSG00000020129,1.48429,,,
ENSG00000020256,-0.978796,,-0.305149,
ENSG00000020633,-0.85847,,,
ENSG00000020922,0.124055,,-0.224896,
ENSG00000021300,-3.81327,-2.69302,1.25084,-1.01977
ENSG00000021355,2.0855,,1.02676,
ENSG00000021488,-0.755907,-0.656908,-0.402661,-0.749229
ENSG00000021762,-0.74228,0.16071,0.255849,0.294552
ENSG00000021776,-0.720511,,,
ENSG00000021826,0.395642,,-1.56751,
ENSG00000022556,-2.50085,,-0.226927,
ENSG00000022567,0.882342,,-1.93008,
ENSG00000022840,1.53714,,,
ENSG00000022976,0.0258361,,1.04658,
ENSG00000023041,-2.37327,0.299191,-0.794425,-0.350184
ENSG00000023171,-5.64282,-1.76455,,
ENSG00000023191,-1.6236,-1.21809,-0.00689606,-0.866193
ENSG00000023228,1.03784,,-0.711262,
ENSG00000023445,-2.55974,,,
ENSG00000023516,0.422184,2.0878,0.196234,1.61505
ENSG00000023572,2.19443,-0.448345,0.342532,-0.0748211
ENSG00000023608,-1.10496,0.534745,-2.1289,-1.12724
ENSG00000023734,-0.303356,,,
ENSG00000023839,2.20966,1.15093,,
ENSG00000023892,2.01227,1.1055,,
ENSG00000023909,-0.378991,,0.528367,
ENSG00000024048,-1.28904,,2.62032,
ENSG00000024422,-1.14329,1.72595,,
ENSG00000024862,0.472347,-1.36554,-0.315878,-1.18894
ENSG00000025039,-0.996617,,1.74657,
ENSG00000025156,1.13956,-0.629425,0.4232,-0.145823
ENSG00000025293,-1.64953,,,
ENSG00000025423,0.993422,,,
ENSG00000025434,1.72372,2.6602,-0.209525,1.73289
ENSG00000025708,-2.2319,-0.706655,,
ENSG00000025770,-0.572184,,,
ENSG00000025772,-1.14464,,,
ENSG00000025800,-0.454923,,,
ENSG00000026297,2.26792,0.702805,0.620886,0.935991
ENSG00000026508,-3.92058,,-1.54274,
ENSG00000026652,2.5516,,-0.218931,
ENSG00000026950,0.148366,-0.0538254,-0.64208,-0.492079
ENSG00000027001,-1.37633,0.262016,-0.727777,-0.329343
ENSG00000027697,-1.33805,-0.112892,-0.215313,-0.232076
ENSG00000027847,2.79821,,2.06101,
ENSG00000028137,1.70913,,,
ENSG00000028203,2.08297,-0.414307,-0.660634,-0.760098
ENSG00000028310,-0.429272,,,
ENSG00000028528,2.17657,,1.97918,
ENSG00000028839,-1.21584,,,
ENSG00000029153,-1.44474,,,
ENSG00000029364,-1.18622,-0.959029,1.17278,0.151146
ENSG00000029725,-8.44398,-3.20911,-4.49711,-5.44912
ENSG00000030066,-0.498792,,,
ENSG00000030110,-4.97375,,-0.190054,
ENSG00000030419,-0.563957,,-0.736702,
ENSG00000030582,0.490038,0.97948,,
ENSG00000031003,-1.07828,,,
ENSG00000031081,-1.95192,,,
ENSG00000031691,-0.412055,,-0.212121,
ENSG00000031698,1.9741,0.451441,,
ENSG00000032444,-0.126108,,0.945287,
ENSG00000032742,0.0185886,-1.33866,-0.715138,-1.45226
ENSG00000033030,3.75905,,,
ENSG00000033050,2.74616,-1.36891,,
ENSG00000033100,4.33111,,,
ENSG00000033170,0.988269,,,
ENSG00000033178,-0.0496255,,-0.0864961,
ENSG00000033327,-1.39441,,2.40362,
ENSG00000033627,-1.57392,0.559403,0.572426,0.800325
ENSG00000033800,-1.16166,-0.890711,-0.560913,-1.02645
ENSG00000033867,-2.74649,,,
ENSG00000034152,0.49188,,,
ENSG00000034510,0.185824,,,
ENSG00000034533,1.48686,,1.76087,
ENSG00000034677,1.59218,,,
ENSG00000034693,0.180501,,-0.12446,
ENSG00000034713,4.12317,,,
ENSG00000035115,-0.570795,,0.872219,
ENSG00000035141,0.39224,-0.0906445,,
ENSG00000035403,1.44525,,,
ENSG00000035499,0.671197,0.571274,,
ENSG00000035664,-1.27021,,,
ENSG00000035681,-3.50513,,,
ENSG00000035687,0.971053,2.94334,,
ENSG00000035720,-1.53069,,-1.09323,
ENSG00000035928,-0.127854,-0.237284,,
ENSG00000036054,-0.013328,,,
ENSG00000036257,3.4899,,,
ENSG00000036448,-1.73734,-1.15308,1.48686,0.236019
ENSG00000036549,-2.86743,,,
ENSG00000037042,0.922679,1.00964,,
ENSG00000037474,-3.8019,-3.08397,-3.51565,-4.66663
ENSG00000037637,-0.0778122,,,
ENSG00000037757,0.347168,,,
ENSG00000038002,3.6048,,,
ENSG00000038210,0.437467,,,
ENSG00000038219,-1.99395,-3.14989,,
ENSG00000038427,-0.66028,,,
ENSG00000038945,-3.63397,,-2.82925,
ENSG00000039123,0.220275,0.78518,,
ENSG00000039319,1.80248,,,
ENSG00000039560,2.23873,,,
ENSG00000039650,-1.55643,,-0.138685,
ENSG00000040199,2.94079,,2.35203,
ENSG00000040275,-2.25866,0.295014,0.437538,0.517993
ENSG00000040487,0.754355,,1.04223,
ENSG00000040531,-0.529287,,-1.86528,
ENSG00000040933,0.24269,1.70081,,
ENSG00000041353,-1.42796,,0.438631,
ENSG00000041357,7.54593,4.23102,0.144455,3.09393
ENSG00000041802,1.43112,,0.099031,
ENSG00000041880,1.77581,,,
ENSG00000041982,0.879511,,1.30216,
ENSG00000041988,-3.12212,-3.49733,,
ENSG00000042088,0.866249,0.0431921,,
ENSG00000042286,2.20728,,,
ENSG00000042317,0.276968,,0.953384,
ENSG00000042429,-1.13056,-2.17898,-2.23846,-3.1236
ENSG00000042445,0.901663,,,
ENSG00000042493,-0.874057,0.00633723,-0.741991,-0.520186
ENSG00000042753,0.320811,1.95889,,
ENSG00000042832,1.01297,,,
ENSG00000042980,-3.09187,-1.67719,-2.34144,-2.84161
ENSG00000043462,-4.48594,-1.30603,0.177634,-0.797896
ENSG00000043514,-4.2997,-3.31874,-2.32522,-3.99088
ENSG00000044090,1.15906,0.807491,0.989977,1.271
ENSG00000044459,3.28673,,2.60257,
ENSG00000047056,0.392699,-0.842533,0.943683,0.0715239
ENSG00000047188,0.460687,-0.0448747,,
ENSG00000047315,2.29699,,,
ENSG00000047346,-6.20018,,,
ENSG00000047365,-1.67506,-1.54902,,
ENSG00000047410,-0.103841,,,
ENSG00000047457,-1.23608,1.14178,-1.24568,-0.0734701
ENSG00000047579,3.40494,0.323072,-0.467771,-0.102318
ENSG00000047849,1.59028,,,
ENSG00000047932,-3.2541,,3.88495,
ENSG00000048140,-2.39548,-0.399531,,
ENSG00000048162,-0.526232,,,
ENSG00000048342,-1.49406,,,
ENSG00000048392,-0.665075,,,
ENSG00000048462,2.44673,,2.70058,
ENSG00000048471,1.04275,,-0.124627,
ENSG00000048544,2.84634,,1.28099,
ENSG00000048649,-0.192445,,,
ENSG00000048707,1.64608,,,
ENSG00000049089,-0.845093,,-0.31857,
ENSG00000049167,2.16349,2.88695,3.05242,4.19977
ENSG00000049239,0.492663,,1.67759,
ENSG00000049245,0.865454,1.07957,0.571973,1.16782
ENSG00000049323,1.95076,,,
ENSG00000049449,1.0927,,,
ENSG00000049541,1.21153,1.58738,,
ENSG00000049618,1.83077,,,
ENSG00000049860,-2.29638,-0.205574,,
ENSG00000050130,-4.60034,,-4.5666,
ENSG00000050165,1.5797,0.758101,-0.200159,0.394525
ENSG00000050327,0.13694,,-1.4945,
ENSG00000050344,0.265812,,,
ENSG00000050393,-1.41146,,,
ENSG00000050405,-6.40508,,-0.502202,
ENSG00000050426,0.64915,-0.666147,,
ENSG00000050555,-0.461409,1.19197,,
ENSG00000050748,-2.88846,-0.837238,,
ENSG00000050767,1.47493,0.820393,,
ENSG00000050820,4.47699,,-1.74896,
ENSG00000051009,-1.10952,-1.32688,-1.65539,-2.10879
ENSG00000051108,0.981323,1.03586,1.1799,1.56678
ENSG00000051128,3.59871,,0.10656,
ENSG00000051523,-1.20017,,-2.04323,
ENSG00000051596,1.46992,,,
ENSG00000051620,-0.825533,-0.914784,,
ENSG00000051825,5.31946,5.80582,4.9404,7.59872
ENSG00000052126,-1.74056,-0.840778,,
ENSG00000052749,-2.20048,-1.96187,,
ENSG00000052795,3.41124,0.472475,,
ENSG00000053108,0.26274,0.183258,,
ENSG00000053254,-0.0762383,,,
ENSG00000053371,5.89573,1.90467,,
ENSG00000053372,-2.2627,,-0.44106,
ENSG00000053438,0.857729,,0.429742,
ENSG00000053501,1.69132,0.877568,0.44804,0.937347
ENSG00000053524,-1.14161,,,
ENSG00000053702,-1.06632,,-1.20984,
ENSG00000053770,1.27317,,,
ENSG00000053900,-0.442913,,,
ENSG00000054118,3.66535,,,
ENSG00000054148,-0.119868,,,
ENSG00000054179,-0.218925,,,
