gene,eqZ,wbZ,ntZ,multiZ
ENSG00000012061,-2.15386,-0.338134,-0.338134,-0.478194
ENSG00000012124,0.5886,0.0565868,0.784594,0.594805
ENSG00000012171,0.275282,-0.694409,-1.13103,-1.29078
ENSG00000012660,1.38102,0.964844,-0.90161,0.0447136
ENSG00000012779,0.1044,0.898908,0.178058,0.76153
ENSG00000012822,1.46966,0.641811,0.641811,0.907658
ENSG00000012963,0.986849,-0.0130706,-0.0130706,-0.0184846
ENSG00000013016,-0.373182,-0.787062,-1.04881,-1.29815
ENSG00000013288,-1.39885,1.84266,0.98214,1.99744
ENSG00000013306,0.661381,1.29423,-1.44674,-0.107842
ENSG00000013374,0.843429,-0.964338,-1.79422,-1.95059
ENSG00000013375,-1.6725,1.35917,-1.21925,0.0989342
ENSG00000013503,-1.82875,-0.37027,-0.33288,-0.497202
ENSG00000013523,-0.642831,-1.33558,-0.880347,-1.5669
ENSG00000013561,-2.28814,-2.09344,-2.12022,-2.97951
ENSG00000013573,2.95782,2.30997,2.33362,3.28351
ENSG00000013583,-2.5468,-2.10362,2.84844,0.526666
ENSG00000013810,0.894043,1.38572,1.16444,1.80323
ENSG00000014123,0.645961,0.213468,-0.648892,-0.307891
ENSG00000014138,-1.47465,-1.34667,-0.908033,-1.59431
ENSG00000014164,-3.52456,-0.435423,-0.199319,-0.448831
ENSG00000014216,-0.109164,-0.596199,-1.04365,-1.15955
ENSG00000014257,1.89496,-0.788854,1.14294,0.25038
ENSG00000014641,0.0520966,0.395618,0.348183,0.525946
ENSG00000014824,1.38395,-0.0319293,-0.0319293,-0.0451548
ENSG00000014919,0.0177492,1.58155,1.58155,2.23665
ENSG00000015153,-2.27965,-1.98911,-2.19261,-2.95692
ENSG00000016391,2.10893,-0.299572,1.49431,0.844808
ENSG00000016864,8.97753,-1.37148,6.21597,3.42558
ENSG00000017797,3.78043,3.14179,0.317845,2.44633
ENSG00000018189,0.572334,-0.109374,-0.450927,-0.396193
ENSG00000018280,0.615182,-0.494848,-0.494848,-0.699821
ENSG00000018510,1.87972,1.30649,0.969866,1.60963
