gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000055130,CUL1,-0.6097628942613279,-4.292712350340758e-05,0.5420188847264656,660312.4592420103,NA,NA,NA,268,270,275,0.023335535519682187,11.3106
ENSG00000186635,ARAP1,-0.6042193974174037,-6.978365351126643e-05,0.5456977862700116,250511.41413111394,NA,NA,NA,217,218,221,0.0722460661186731,7.8763
ENSG00000100345,MYH9,0.6028863305083948,5.8521436869568174e-05,0.5465843101687733,376301.153940541,NA,NA,NA,366,384,391,0.03547740701405745,24.3638
ENSG00000089157,RPLP0,0.5981047105493823,0.00010994794878225416,0.5497700673547761,108294.26728172803,NA,NA,NA,132,132,133,0.13611741231850416,8.2784
ENSG00000106682,EIF4H,-0.5902407500767086,-4.854346059771364e-05,0.5550292557641687,477404.5436822437,NA,NA,NA,155,155,156,0.21837786316309526,12.7454
ENSG00000134308,YWHAQ,0.5546240949071862,1.970997873670223e-05,0.5791518046759137,2529196.7581422515,NA,NA,NA,412,415,422,0.13770876791956715,19.685
ENSG00000161654,LSM12,0.5505888110527474,0.00017236160067965402,0.581915580722308,36027.32992762204,NA,NA,NA,88,88,90,0.13255777760345328,7.7851
ENSG00000167985,SDHAF2,-0.5456146391319487,-0.001988635013831403,0.5853308593678259,256.3437448009863,NA,NA,NA,16,17,17,0.12701867644276305,11.9135
ENSG00000106633,GCK,-0.4743607713128192,-0.00014398012651132804,0.6352426621065659,35961.30270923329,NA,NA,NA,77,78,79,0.004695937740926571,10.9726
ENSG00000165119,HNRNPK,0.42813786864280695,0.00798850839416899,0.6685507478642361,9.489987876481214,NA,NA,NA,1,1,2,0.6685507478642361,4.3423
ENSG00000157500,APPL1,-0.427664036868976,-5.1448221397318616e-05,0.6688957364660273,201455.3622498298,NA,NA,NA,200,200,203,0.1312597771476972,8.0936
ENSG00000143870,PDIA6,-0.42763628795750797,-8.49729883406368e-06,0.6689159421293914,7160295.345768486,NA,NA,NA,573,578,590,0.004358215587443755,28.41
ENSG00000073849,ST6GAL1,-0.4255201525441247,-2.0300499672076883e-05,0.6704575339196845,1533081.4904817373,NA,NA,NA,581,631,669,0.005057101728066861,25.778
ENSG00000108654,DDX5,0.4242479911756249,7.286646035219924e-05,0.6713849645065458,155249.18925267126,NA,NA,NA,324,343,367,0.0038979793372179977,49.8734
ENSG00000265681,RPL17,0.4103160841785519,1.5157796553849636e-05,0.6815740948112927,3449033.232527777,NA,NA,NA,1293,1302,1352,0.015178781682135066,46.4634
ENSG00000108828,VAT1,0.3941806886373719,2.421190015763206e-06,0.6934476421393796,95250766.38097589,NA,NA,NA,1065,1111,1141,0.028761323938948462,34.2709
ENSG00000118181,RPS25,-0.3731517460090296,-2.973412867576791e-05,0.7090355076565824,500830.3772527704,NA,NA,NA,177,178,182,0.18953721729739925,13.5306
ENSG00000115053,NCL,0.3284172367951345,1.3350886779692853e-05,0.7425962120190268,2289983.2701977124,NA,NA,NA,503,510,515,0.0004443430625971545,33.4463
ENSG00000100764,PSMC1,-0.3195059768798227,-3.619533757135018e-05,0.7493428598278702,260332.84723923221,NA,NA,NA,158,158,159,0.3418702358607749,5.4465
ENSG00000075624,ACTB,0.31148836344112263,0.0004850715336568294,0.7554293878310472,972.8525118591753,NA,NA,NA,22,23,23,0.1413776133762679,5.6314
ENSG00000127663,KDM4B,-0.31049511899065757,-7.647354133509231e-06,0.7561844706869182,5182824.426523829,NA,NA,NA,689,694,706,0.01590874386224716,27.9401
ENSG00000184545,DUSP8,-0.23836916960763505,-3.170860828030414e-05,0.8115947774071364,284787.1537776069,NA,NA,NA,309,311,316,0.019483329385970506,11.0987
ENSG00000164587,RPS14,0.194550941053854,9.793221411468821e-06,0.8457445124257325,1412706.1271018651,NA,NA,NA,189,200,208,0.003963193422803534,26.0073
ENSG00000153814,JAZF1,0.15048600702949555,4.303091301240474e-06,0.8803811897952158,2884003.6132944888,NA,NA,NA,826,845,869,0.0009783050874999292,59.4772
ENSG00000145996,CDKAL1,-0.12757045031844733,-6.437390913709531e-06,0.8984889172512849,1212064.752349144,NA,NA,NA,787,799,820,0.023088665960447466,30.024
ENSG00000078808,SDF4,-0.1270674937933379,-7.315873218013118e-06,0.8988869790680916,1479718.042081405,NA,NA,NA,521,553,575,0.013143377634627224,27.708
ENSG00000153827,TRIP12,-0.11873539277670014,-2.9768305063199755e-06,0.9054849955001878,4948094.755738719,NA,NA,NA,526,529,538,0.031561733005536885,23.4737
ENSG00000172500,FIBP,0.07366989672630742,2.412785005807712e-06,0.9412730526112526,3442983.870610267,NA,NA,NA,936,951,986,0.007685868737247251,31.8202
ENSG00000105193,RPS16,-0.06742161296113225,-2.1842431710097415e-06,0.9462460636797368,2649622.5230566896,NA,NA,NA,397,397,406,0.0014622297254325992,21.1064
ENSG00000116649,SRM,0.06720614142904718,0.00012564709206250627,0.9464175960275013,1383.385638824512,NA,NA,NA,39,39,39,0.09636439767546477,6.1386
ENSG00000137955,RABGGTB,-0.04158442593891008,-2.32516903588648e-06,0.9668299888025946,4032093.1746996874,NA,NA,NA,1179,1187,1238,0.036006504165662236,15.7434
ENSG00000205937,RNPS1,0.03433369127953564,2.652477274930458e-06,0.972611058943085,367262.35899809137,NA,NA,NA,247,255,261,0.031234167142762507,23.5214
ENSG00000090615,GOLGA3,0.019617942602363457,4.179664189702695e-07,0.9843481504606777,2547908.3329191986,NA,NA,NA,873,914,947,0.010534711045669472,22.6729
ENSG00000096384,HSP90AB1,-0.019576731599341108,-4.6675339502137425e-05,0.9843810257701422,1302.4312001316364,NA,NA,NA,21,21,21,0.09156495681293401,5.5293
ENSG00000140718,FTO,-0.01852886189302998,-1.8486585991318335e-06,0.9852169530539425,722898.5625413796,NA,NA,NA,410,411,415,0.03026820681682277,21.6162
